row_id,source_state_abbr,municipality,health_unit_name,old_formatted_address,old_lat,old_lng,old_place_id,old_score,old_review_reasons,best_candidate_pattern,best_candidate_query,best_formatted_address,best_lat,best_lng,best_place_id,best_partial_match,best_location_type,best_candidate_score,best_candidate_reasons,score_delta,repair_outcome
AC_0003,AC,Brasiléia,Hospital de Clínicas Raimundo Chaar,"BR-317 & R. Raimundo Chaar, Assis Brasil - AC, 69935-000, Brasil",-10.9332298,-69.5653925,EkBCUi0zMTcgJiBSLiBSYWltdW5kbyBDaGFhciwgQXNzaXMgQnJhc2lsIC0gQUMsIDY5OTM1LTAwMCwgQnJhemlsImYiZAoUChIJf1SHk3AMeZERqX3P8MH-Kk4SFAoSCX9Uh5NwDHmREal9z_DB_ipOGhQKEgmB8OukV50qkhHr2NC6y-eaHRoUChIJ72EBznsMeZERE_Ff1YfgFPsiCg22uHv5FdspidY,90,,addr_muni_state,"BR 317, km 01, Bairro ALberto Castro s/n, Brasiléia, ACRE, Brasil","BR-317, Brasiléia - AC, Brasil",-10.9118978,-69.04095,Eh9CUi0zMTcsIEJyYXNpbMOpaWEgLSBBQywgQnJhemlsIi4qLAoUChIJgfDrpFedKpIR69jQusvnmh0SFAoSCZuIPQY3t36REZ6cCNi-9TUU,true,GEOMETRIC_CENTER,120,in_brazil +50; state_match(AC) +40; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; generic_fa -15; partial+non_rooftop -5,30,improved_but_still_review
AC_0009,AC,Marechal Thaumaturgo,Unidade Mista de Marechal Thaumaturgo,"Mal. Thaumaturgo - AC, 69983-000, Brasil",-8.9483336,-72.7858033,ChIJC4sd7qMon5ERpHipOBX6lQI,60,,unit_muni_state,"Unidade Mista de Marechal Thaumaturgo, Marechal Thaumaturgo, ACRE, Brasil","Mal. Thaumaturgo - AC, 69983-000, Brasil",-8.9483336,-72.7858033,ChIJC4sd7qMon5ERpHipOBX6lQI,true,GEOMETRIC_CENTER,60,in_brazil +50; state_match(AC) +40; muni_not_in_fa -30; loc_type=GEOMETRIC_CENTER +20; generic_fa -15; partial+non_rooftop -5,0,unchanged_bad
AC_0015,AC,Senador Guiomard,Hospital Dr. Ari Rodrigues,"R. Sen. Eduardo Asmar, 133 - Cohab, Sen. Guiomard - AC, 69925-000, Brasil",-10.1586628,-67.7327109,ChIJ807espTqf5ERas6TzpDeCmU,115,,addr_muni_state,"Avenida Eduardo Assmar, 133 - COHAB, Senador Guiomard, ACRE, Brasil","R. Sen. Eduardo Asmar, 133 - Cohab, Sen. Guiomard - AC, 69925-000, Brasil",-10.1586628,-67.7327109,ChIJ807espTqf5ERas6TzpDeCmU,true,ROOFTOP,115,in_brazil +50; state_match(AC) +40; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15,0,unchanged_bad
AM_0030,AM,Guajará,Hospital João Miguel da Cruz Barbosa,"Pres. Vargas, Manaus - AM, Brasil",-3.1198871,-60.0302827,ChIJqzoulPQPbJIRfv4ozRds2Z8,45,,unit_muni_state,"Hospital João Miguel da Cruz Barbosa, Guajará, AMAZONAS, Brasil","R. Expedito Ferreira Barbosa, Guajará - AM, 69895-000, Brasil",-7.5486897,-72.5837356,ChIJw9z6ZA7RmZERAN8Zhj9Wuwk,true,GEOMETRIC_CENTER,150,in_brazil +50; state_match(AM) +40; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15; partial+non_rooftop -5,105,improved_confidently
AM_0044,AM,Lábrea,Polo Base Marrecão,"Deni, Itamarati - AM, Brasil",-6.354515,-67.874903,ChIJATsKp_0uiJERF4GHidZmqcg,45,,unit_muni_state,"Polo Base Marrecão, Lábrea, AMAZONAS, Brasil","Lábrea, AM, 69830-000, Brasil",-7.263780599999999,-64.7965384,ChIJpXIFicOTL5IRKe7tBtdXZ4c,true,APPROXIMATE,95,in_brazil +50; state_unknown; muni_in_fa +30; loc_type=APPROXIMATE +5; specific_fa +15; partial+non_rooftop -5,50,improved_confidently
AM_0051,AM,Maraã,Centro de Saude Maximo Maia da Silva O Coruja,"Comunidade São Pedro - Parintins, AM, Brasil",-2.9072088,-56.7936797,ChIJSSSsEbHzY5IRmymUkoGatxo,5,,unit_muni_state,"Centro de Saude Maximo Maia da Silva O Coruja, Maraã, AMAZONAS, Brasil","Maraã, AM, 69490-000, Brasil",-1.8592832,-65.589998,ChIJgfAvHH2RBJIRnHxUzFcHnPg,true,APPROXIMATE,95,in_brazil +50; state_unknown; muni_in_fa +30; loc_type=APPROXIMATE +5; specific_fa +15; partial+non_rooftop -5,90,improved_confidently
AM_0053,AM,Maués,Polo Base Nova Esperança,"Nova Esperança, PR, 87600-000, Brasil",-23.1893414,-52.2003341,ChIJ9WfoRDrFkpQRYqgNVWZt-T4,35,,addr_muni_state,"Aldeia Nova Esperança, Maués, AMAZONAS, Brasil","7Q27+7W - Repartimento, Maués - AM, 69190-000, Brasil",-3.7493357,-57.2352431,ChIJD9gk48YhZ5IRalAqtH32L78,false,ROOFTOP,175,in_brazil +50; state_match(AM) +40; muni_in_fa +30; loc_type=ROOFTOP +40; specific_fa +15,140,improved_confidently
AM_0056,AM,Nova Olinda do Norte,Polo Base Kwatá,"Rio Canumã, Amazonas, 69200-000, Brasil",-3.986118212068608,-59.10740553410074,ChIJQ7VbDlWzaZIRzUYyrj5iGrw,35,,unit_muni_uf,"Polo Base Kwatá, Nova Olinda do Norte - AM, Brasil","QPFG+H5 - Canumã, Borba - AM, 69200-000, Brasil",-4.226043499999999,-59.2746218,ChIJ4aiUAADRaZIRA4Wzn_NP7Oc,true,ROOFTOP,115,in_brazil +50; state_match(AM) +40; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15,80,improved_confidently
AM_0062,AM,Presidente Figueiredo,Hospital Geral Evaldo Neves Falcão,"próximo a Bemol - BR-174, km 107 - Centro, Pres. Figueiredo - AM, 69735-000, Brasil",-2.0516612,-60.02450649999999,ChIJ8fClmNMFcpIRDjCcaKZt2lg,115,,addr_muni_state,"BR 174 Km 107 - Centro, Presidente Figueiredo, AMAZONAS, Brasil","próximo a Bemol - BR-174, km 107 - Centro, Pres. Figueiredo - AM, 69735-000, Brasil",-2.0516612,-60.02450649999999,ChIJ8fClmNMFcpIRDjCcaKZt2lg,false,ROOFTOP,115,in_brazil +50; state_match(AM) +40; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15,0,unchanged_bad
AM_0063,AM,Presidente Figueiredo,Hospital de Balbina,"1237 - Av. Um, 1199 - Waimiri, Pres. Figueiredo - AM, 69735-000, Brasil",-1.9359939,-59.4208309,ChIJb5Sg-bPDcZIRnqpykO6o8HM,115,,unit_muni_state,"Hospital de Balbina, Presidente Figueiredo, AMAZONAS, Brasil","1237 - Av. Um, 1199 - Waimiri, Pres. Figueiredo - AM, 69735-000, Brasil",-1.9359939,-59.4208309,ChIJb5Sg-bPDcZIRnqpykO6o8HM,false,ROOFTOP,115,in_brazil +50; state_match(AM) +40; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15,0,unchanged_bad
AM_0064,AM,Presidente Figueiredo,Hospital de Pitinga,"Av. Cassiterita - Balbina, Pres. Figueiredo - AM, 69735-000, Brasil",-0.7772323,-60.0805395,ChIJLevB05Y9dJIRQJQoSEa5OHU,90,,addr_muni_state,"Avenida Cassiterita, s/n - Vila do Pitinga, Presidente Figueiredo, AMAZONAS, Brasil","Av. Cassiterita - Balbina, Pres. Figueiredo - AM, 69735-000, Brasil",-0.7772323,-60.0805395,ChIJLevB05Y9dJIRQJQoSEa5OHU,false,GEOMETRIC_CENTER,95,in_brazil +50; state_match(AM) +40; muni_not_in_fa -30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15,5,improved_but_still_review
AM_0074,AM,São Gabriel da Cachoeira,Unidade Basica de Saúde de Maturacá,"Aeroporto de Maturacá, Santa Isabel do Rio Negro - AM, 69740-000, Brasil",0.6264986,-66.1202405,ChIJaZ_pqOfb_o0RZjjOuNlijzs,90,,unit_muni_state,"Unidade Basica de Saúde de Maturacá, São Gabriel da Cachoeira, AMAZONAS, Brasil","Aeroporto de Maturacá, Santa Isabel do Rio Negro - AM, 69740-000, Brasil",0.6264986,-66.1202405,ChIJaZ_pqOfb_o0RZjjOuNlijzs,true,GEOMETRIC_CENTER,90,in_brazil +50; state_match(AM) +40; muni_not_in_fa -30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15; partial+non_rooftop -5,0,unchanged_bad
AM_0078,AM,São Gabriel da Cachoeira,5º Pelotão Especial de Fronteira do Exército (5º BIS),"Aeroporto de Maturacá, Santa Isabel do Rio Negro - AM, 69740-000, Brasil",0.6264986,-66.1202405,ChIJaZ_pqOfb_o0RZjjOuNlijzs,90,,unit_muni_state,"5º Pelotão Especial de Fronteira do Exército (5º BIS), São Gabriel da Cachoeira, AMAZONAS, Brasil","São Gabriel da Cachoeira - AM, 69750-000, Brasil",-0.1296579,-67.07045959999999,ChIJw8aLsvINAJIRq_rQGcum71w,true,GEOMETRIC_CENTER,120,in_brazil +50; state_match(AM) +40; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; generic_fa -15; partial+non_rooftop -5,30,improved_but_still_review
